LID,Year,lon,lat,PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI,LST,Coupling_Coordination_Level,WS,Tair,SRAD,RH,PRE
P17,2023,684217.2035,3841393.56,46.2088,146.8179,6,1.8549,46.0784,28.4748,0.5187,0.162504992,0.056043919,0,0.725181818,0.137855191,0.00656539,142,3.09973383,0,35.78659825,3,3.49496603,301.9208679,345.48349,41.98707581,0
P18,2023,769087.2035,3831043.56,0,0,0,0,0,0,0,0,0,0,0.666456282,0.030755489,0.044849643,248,2.36140132,7.191068407,48.11839534,2,3.401712656,301.8739929,331.644104,43.66903305,0
P19,2023,671107.2035,3802753.56,8.4016,73.0939,3.0435,2.3726,79.2952,36.4275,0.5468,0.200460054,0.030704898,0.002194547,0.64043951,0.045721631,0.040717578,72,0.857599676,0,37.5830861,3,3.672957659,301.6090393,354.8621826,40.88042831,0
P20,2023,770467.2035,3833113.56,0,0,0,0,0,0,0,0,0,0,0.709864497,0.036879351,0.067337902,145,1.376708388,0,48.75159441,2,3.417212725,301.9591675,334.6590271,43.29668045,0
P21,2023,702847.2035,3864163.56,6.3012,50.4096,2.4762,1.5674,84.264,44.6844,0.5087,0,0,0.217965049,0.563885868,0.064556488,0.477758798,56,3.240413427,2.638945938,35.65350267,5,3.50482893,302.7871704,326.7910767,38.59864426,0
P22,2023,700777.2035,3837253.56,6.3012,23.9445,1.2889,1.1141,98.6006,70.2045,0.2773,0.919062484,0.003780718,0,0.902913094,0.077025933,0,53,0.652562618,0,32.75728857,2,3.410411596,300.0991821,347.9320068,39.37483597,0
P23,2023,711127.2035,3846223.56,8.4016,23.9445,2.2222,1.2214,64.5161,79.8267,0.1609,0.015122873,0,0.023722264,0.740408182,0.07052144,0.049209164,185,2.764460325,0.213175183,38.11538096,3,3.438327789,302.4960327,331.144043,37.73113632,0
P24,2023,751837.2035,3818623.56,0,0,0,0,0,0,0,0,0,0,0.659928024,0.036016309,0.15879017,349,10.66910458,2.927472858,45.49632722,3,3.318529844,302.0363464,328.3602295,43.62334442,0
P25,2023,720787.2035,3871753.56,0,0,0,0,0,0,0,0.000518977,0,0,0.72832936,0.004363581,0.239717184,72,0.677069247,0,50.50657732,3,3.552659512,302.3703003,329.388916,38.83422089,0
P26,2023,662137.2035,3805513.56,0,0,0,0,0,0,0,0,0,0,0.726856947,0.039812875,0.053119844,174,1.559901237,0,40.6590035,2,3.721915483,300.587677,357.51828,44.67617798,0
P27,2023,681457.2035,3812413.56,23.1044,39.0674,3.4,1.0747,40,74.3193,0.1904,0,0.047730797,0,0.494688243,0.015785135,0.255717465,289,5.938424587,3.51953419,41.64265018,4,3.692223072,301.7511292,377.2239075,40.34268951,0
P28,2023,761497.2035,3813103.56,0,0,0,0,0,0,0,0,0,0,0.561687112,0.029158257,0.464294064,446,6.867035866,11.9115553,45.51808735,3,3.288313627,301.9649658,319.8744202,43.67127991,0
P29,2023,775987.2035,3870373.56,2.1004,22.0542,1.1556,1.1556,99.2639,75.0027,0.2231,0,0,0.93770245,0.417639464,0.051024739,0.058183403,28,0.812536359,-15.29520501,24.03475681,3,3.598887682,303.3950806,326.9487305,33.48663712,0
P30,2023,682147.2035,3842773.56,0,0,0,0,0,0,0,0,0,0,0.594983518,0.045247136,0.54264483,1490,9.108764648,0.354535609,44.48476227,3,3.474893093,302.3502808,344.3991394,42.36989975,0
P31,2023,759427.2035,3851053.56,0,0,0,0,0,0,0,0,0,0,0.581132114,0.048016886,0.799216532,3265,84.7263031,1.058063976,43.85979204,4,3.531221628,302.5744629,343.7591858,38.0970993,0
P33,2023,718717.2035,3840703.56,0,0,0,0,0,0,0,0,0,0,0.710685849,0.046827665,0.196494607,329,10.55330563,3.61820458,44.08328732,3,3.419193506,302.0475464,333.3422241,39.17425537,0
P34,2023,744937.2035,3848983.56,0,0,0,0,0,0,0,0,0,0,0.332619131,0.066071403,1,16871,91.89673615,0,47.41989609,4,3.504666328,302.2901001,339.1697083,38.72177124,0
P35,2023,702157.2035,3852433.56,2.1004,6.3012,1.25,1.25,50,95.0453,0.035,0,0.005671078,0,0.648504436,0.054571301,0.767715637,981,4.082902431,0,44.66412723,5,3.463571072,302.4147034,329.7296753,38.23623276,0
P36,2023,720787.2035,3837943.56,0,0,0,0,0,0,0,0,0,0,0.654626846,0.051732031,0.163646512,533,10.77686787,3.653201203,41.35702838,3,3.408109665,301.8304138,333.7830505,40.07600021,0
P37,2023,763567.2035,3820693.56,0,0,0,0,0,0,0,0,0,0,0.696161985,0.026163695,0.398639673,788,6.639253616,0.335562429,46.22406317,3,3.331140995,301.7609558,326.1356506,44.26617813,0
P38,2023,733897.2035,3808963.56,0,0,0,0,0,0,0,0,0,0,0.771542013,0.037146378,0.110011929,409,2.931414843,1.879829614,44.17510294,2,3.265424728,301.5820923,339.8792725,44.28594589,0
P39,2023,666277.2035,3809653.56,0,0,0,0,0,0,0,0,0,0,0.632175505,0.011174159,0.571122521,1382,1.661258936,3.692720695,44.65852861,3,3.755882502,300.797821,360.7998657,43.99521255,0
P40,2023,741487.2035,3866923.56,2.1004,59.8614,1.8462,1.8462,95.2924,34.0406,0.6113,0,0,0.700575998,0.587005258,0.049609069,0.088202181,98,49.13511276,42.87178161,23.98415757,5,3.597835302,302.6568909,324.2345886,37.95856094,0
P41,2023,723547.2035,3822763.56,0,0,0,0,0,0,0,0,0,0,0.645806909,0.040775544,0.303531258,597,11.3297224,1.32830318,43.57959388,3,3.311887741,300.8327942,343.2030945,43.4546814,0
P42,2023,737347.2035,3848983.56,0,0,0,0,0,0,0,0,0,0,0.392329991,0.050998224,1,20946,92.43508148,0,46.58265787,4,3.496467113,302.3682861,334.3612061,38.6227417,0
P43,2023,719407.2035,3842083.56,0,0,0,0,0,0,0,0,0,0,0.768883646,0.06759539,0.028600762,281,5.803520679,2.281288486,37.25593806,2,3.429395199,302.190094,333.0919189,38.7989502,0
P44,2023,722167.2035,3812413.56,2.1004,1.8904,1,1,0,98.2058,0.0137,0,0,0.001371382,0.623171449,0.057466092,0.624304891,1129,3.988409042,0.401834021,42.13972061,4,3.267206907,301.2636414,345.3838501,43.80752563,0
P45,2023,686977.2035,3833113.56,6.3012,13.2325,2.1667,1.1667,41.6667,88.8672,0.0862,0,0.015891463,0,0.702304363,0.063268926,0.209474283,912,4.410022736,0.182129631,39.43345899,4,3.567281246,300.4443665,349.0665588,41.60959625,0
P47,2023,768397.2035,3827593.56,0,0,0,0,0,0,0,0,0,0,0.710640728,0.040863716,0.033645878,248,10.04397011,2.531858787,49.48138237,2,3.374983788,301.740448,327.2189026,44.39914703,0
P48,2023,687667.2035,3811723.56,0,0,0,0,0,0,0,0,0,0,0.666365206,0.0305095,0.09195891,736,3.505365372,1.673949601,42.82908258,2,3.607691765,302.0413513,374.5056458,37.92121124,0
P49,2023,680077.2035,3829663.56,10.502,39.0674,3.0909,1.7333,53.0612,71.7243,0.2178,0,0.060343614,0,0.699954271,0.068809456,0.008974726,183,1.033482552,0,38.16310659,2,3.643321037,301.4665527,361.1752014,43.41937637,0
P50,2023,760807.2035,3825523.56,0,0,0,0,0,0,0,0,0,0,0.438793063,0.025514939,0.869398932,2458,84.77150726,1.685555407,47.04289612,4,3.360271692,301.6908264,331.1922607,43.86455154,0
P51,2023,693877.2035,3807583.56,0,0,0,0,0,0,0,0,0,0,0.677585244,0.027781743,0.558415055,892,7.822917938,0.205197261,45.1873721,3,3.484450579,301.3030396,362.3796997,36.47369003,0
P52,2023,776677.2035,3853123.56,0,0,0,0,0,0,0,0,0,0,0.513210833,0.045678268,0.865449726,741,53.03948212,1.79943469,44.04840273,4,3.520172119,302.8244629,329.6139526,37.57328796,0
P53,2023,782887.2035,3855193.56,0,0,0,0,0,0,0,0,0,0,0.520564973,0.059655755,0.382698361,400,43.83351517,1.92737477,44.79986895,3,3.479066133,302.865387,326.7673035,37.26689529,0
P54,2023,744247.2035,3815863.56,0,0,0,0,0,0,0,0,0,0,0.778014481,0.028678882,0.198302164,365,2.5395298,1.000982517,48.09818393,3,3.300640583,302.0611877,322.4911499,44.14680862,0
P55,2023,675937.2035,3831043.56,16.8032,35.2867,2.8667,1.2755,69.2308,63.2231,0.3255,0.087797605,0.017198781,0,0.700593054,0.105421473,0,34,1.155980349,0,36.26173161,2,3.632767677,302.1496277,363.0679932,44.12755966,0
P56,2023,717337.2035,3820003.56,0,0,0,0,0,0,0,0,0,0,0.660827339,0.048073418,0.294295071,692,14.2494688,3.645142566,42.83968135,3,3.275248051,300.6734619,345.3860779,43.15966415,0
P57,2023,729757.2035,3815863.56,2.1004,5.041,1.2,1.2,80,93.8135,0.0535,0.007417796,0,0,0.725364208,0.053386856,0.209344322,538,4.365590572,0.367839275,44.34730244,4,3.291695595,301.681366,340.2275391,44.14809799,0
P58,2023,726997.2035,3828283.56,2.1004,5.041,1.3333,1.3333,0,96.3452,0.0249,0.003780718,0,0,0.714747667,0.060732822,0.004729606,319,12.57083416,0,38.52069467,3,3.355288029,301.0759583,338.4093018,42.71329117,0
P59,2023,684907.2035,3810343.56,0,0,0,0,0,0,0,0,0,0,0.660471559,0.049180079,0.140804881,332,2.15780139,0.55183236,42.03889543,2,3.634034157,301.9348755,374.3977051,38.66999054,0
P60,2023,747697.2035,3822763.56,0,0,0,0,0,0,0,0,0,0,0.680846095,0.028896872,0.343637089,587,5.596225262,1.188743172,40.64309237,3,3.340888023,301.7851563,332.9402466,43.59246826,0
P61,2023,742177.2035,3824833.56,4.2008,18.9036,2.1429,1.5,52.9412,85.5603,0.1083,0,0.02268431,0,0.506832361,0.024625738,0.268338758,1093,16.43761826,11.48899919,43.78336304,4,3.350612164,301.5432129,334.0615845,43.63272095,0
P62,2023,782197.2035,3820693.56,0,0,0,0,0,0,0,0,0,0,0.778047085,0.056206652,0.208580983,366,0.619946122,0,46.30474207,3,3.286933422,301.4070129,327.5151062,47.26564789,0
P63,2023,691807.2035,3840703.56,6.3012,97.0384,2.6944,1.8027,89.9671,21.2484,0.6693,0.537891529,0.063753235,0,0.757589817,0.087359295,0.027836411,142,1.23707974,0,35.38138267,3,3.478979349,300.7098999,345.7368164,40.21652985,0
P64,2023,763567.2035,3822763.56,2.1004,3.7807,1,1,100,95.7447,0.035,0.004633124,0,0,0.640273869,0.045876277,0.205208592,443,10.55349445,0.185950777,43.95003124,4,3.343714952,301.730957,327.5831299,44.2114563,0
P65,2023,707677.2035,3866923.56,0,0,0,0,0,0,0,0,0,0,0.720997274,0.066249613,0.034485616,77,0.80747664,1.15989831,41.72904492,2,3.517204285,302.6608582,329.3363953,38.60857391,0
P66,2023,732517.2035,3811723.56,0,0,0,0,0,0,0,0,0,0,0.752808094,0.038535274,0.108931248,469,2.626508713,0.917246102,45.29817122,2,3.277169228,301.6763306,339.2053223,44.28381348,0
P67,2023,662827.2035,3810343.56,0,0,0,0,0,0,0,0,0,0,0.734786034,0.013750419,0,182,1.373684764,0,40.58742311,2,3.772661686,300.5776062,358.2572327,45.29033279,0
P68,2023,701467.2035,3815863.56,12.6024,28.3554,2.875,1.2489,31.8182,81.9271,0.129,0.028832457,0.000477069,0,0.742557883,0.043284868,0.040591855,211,2.187916517,3.24796746,36.61438692,3,3.329739809,300.6954041,352.5334778,37.82352066,0
P69,2023,722857.2035,3823453.56,0,0,0,0,0,0,0,0,0,0,0.665824652,0.035184442,0.447718351,1164,14.92170906,0.479829077,44.89375891,3,3.312050343,300.7397461,343.3970642,43.3733139,0
P70,2023,686977.2035,3853813.56,2.1004,23.9445,1.3636,1.3636,96.3303,50.3279,0.5354,0,0,0.231424827,0.584797084,0.046481153,0.256501615,598,41.93602753,9.161050408,37.80052298,5,3.479452848,302.6160583,335.1630249,40.94725418,0
P71,2023,775297.2035,3824833.56,0,0,0,0,0,0,0,0,0,0,0.750957072,0.039222438,0.015534866,130,0.650805831,0,51.54026965,2,3.340874434,301.6278076,327.6923218,45.65628052,0
P72,2023,757357.2035,3858643.56,0,0,0,0,0,0,0,0,0,0,0.563996732,0.043184607,0.685358282,1100,68.63881683,17.9463142,42.44884717,4,3.57420063,302.7735596,333.7037659,36.6971817,0
P73,2023,667095.3974,3800920.435,0,0,0,0,0,0,0,0.692113816,0.071923118,0,0,0.032256882,0,0,0,0,33.34377824,1,3.659018993,301.3092041,355.1195679,42.02296448,0
P74,2023,674557.2035,3812413.56,6.3012,16.3831,2,1.3077,55.5556,85.5409,0.1153,0.013780732,0.011443889,0,0.592630208,0.032906158,0.007561437,112,1.860729694,0,40.50254934,2,3.748447895,301.2406921,373.1663513,42.31962204,0
P75,2023,779437.2035,3853813.56,0,0,0,0,0,0,0,0,0,0,0.697339416,0.042539924,0.019988705,176,42.00403214,0,38.97422782,3,3.507628679,302.8545227,327.854126,37.44070435,0
P77,2023,715267.2035,3860023.56,0,0,0,0,0,0,0,0,0,0,0.706376195,0.036620042,0.291210449,476,11.88840199,0.397218602,45.1062513,3,3.513756514,303.0191345,332.7528992,36.95898056,0
P78,2023,729757.2035,3837253.56,10.502,66.1626,3.2778,2.1982,67.9688,50.3171,0.4013,0.1376138,0,0,0.729152024,0.033997411,0.066568492,581,11.31965828,1.204284881,36.70728722,4,3.422847986,301.7592468,332.6617126,40.83779144,0
P79,2023,784267.2035,3842083.56,4.2008,6.3012,1.25,1,50,95.0453,0.035,0,0,0.005671078,0.652556121,0.054463216,0.043478261,269,1.469485044,-1.6,41.50930671,3,3.39708066,302.3362732,332.8348389,41.26707077,0
P80,2023,726307.2035,3871063.56,18.9036,112.1613,3.3333,1.7626,84.507,16.4499,0.6931,0.105087285,0,0.394133333,0.745025456,0.107088462,0.321891358,101,12.85295582,1.446186139,30.82507636,5,3.569942236,302.5084534,327.3047791,38.7698288,0
P81,2023,729067.2035,3804133.56,14.7028,136.1059,3.8857,2.3194,81.4679,13.0269,0.6885,0.543040211,0,0,0.85630697,0.120288126,0,50,0.513116241,0,34.96355815,2,3.248617887,301.0040894,345.7037048,44.21929169,0
P82,2023,731137.2035,3851053.56,0,0,0,0,0,0,0,0,0,0,0.403918415,0.049318704,0.965973535,3160,83.83861542,0.108120708,44.44116632,4,3.499370813,302.5888977,331.848877,38.00190735,0
P83,2023,762187.2035,3808273.56,0,0,0,0,0,0,0,0,0,0,0.61907202,0.037525895,0.29599381,422,1.50998199,4.512252456,47.50363228,3,3.263556719,302.0743713,323.269104,42.80235672,0
P84,2023,695257.2035,3807583.56,0,0,0,0,0,0,0,0,0,0,0.607607722,0.021135048,0.547851993,1397,20.87912369,0.018963847,47.83373585,3,3.461474419,301.1536255,359.8710022,36.31277847,0
P85,2023,711127.2035,3845533.56,16.8032,52.9301,3.0714,1.3244,59.7222,63.3772,0.2819,0.077504726,0,0.002742764,0.748255312,0.087675461,0.043609235,159,2.295300484,8.229972539,36.73491647,3,3.433418036,302.4017334,331.8871155,37.89244461,0
P86,2023,690427.2035,3822763.56,2.1004,35.2867,1.5349,1.5349,97.3533,57.2166,0.4013,0.848932301,0.007561437,0,0.844455123,0.08539209,0,98,0.753628016,0,34.87425218,2,3.561855555,300.5089111,363.4963989,39.68765259,0
P88,2023,769777.2035,3832423.56,0,0,0,0,0,0,0,0,0,0,0.692909837,0.033677829,0.116778954,463,1.905928493,1.867042899,48.92285658,2,3.412565947,301.9306335,333.6637268,43.40300751,0
P89,2023,750457.2035,3826213.56,0,0,0,0,0,0,0,0,0,0,0.7863819,0.028301353,0.112944481,283,7.206790447,1.435038576,48.97697688,3,3.361651659,301.7200623,338.9728699,43.31641769,0
P90,2023,706987.2035,3835873.56,6.3012,92.6276,2.7778,1.9846,89.1892,21.596,0.6755,0.593703753,0,0,0.862328112,0.165238415,0.007561437,75,0.645314097,20,35.1938067,2,3.349989891,300.7050476,350.4528809,39.78991699,0
P91,2023,758047.2035,3836563.56,0,0,0,0,0,0,0,0,0,0,0.607328951,0.036992914,0.851323231,1094,46.72336578,0.303205109,43.44826613,4,3.438987494,302.0004578,333.9362488,41.72359467,0
P92,2023,711127.2035,3820003.56,2.1004,2.5205,1,1,0,97.9788,0.0137,0.001890359,0,0,0.691934109,0.031575174,0.111919194,467,3.593917131,2.028086755,40.66247611,3,3.249859571,300.5935364,345.5084839,41.57247925,0
P93,2023,729067.2035,3825523.56,0,0,0,0,0,0,0,0,0,0,0.682684064,0.038666664,0.261949427,816,8.933003426,0,40.62151315,3,3.34040451,301.0275879,338.8798828,43.36329651,0
P94,2023,755977.2035,3842773.56,0,0,0,0,0,0,0,0,0,0,0.426031709,0.042412623,0.973349423,1419,46.03094864,0.661919851,44.02122068,3,3.477006912,302.2212524,339.6228027,40.01073456,0
P95,2023,775987.2035,3832423.56,0,0,0,0,0,0,0,0,0,0,0.605274796,0.066045653,0.175785484,187,0.822333038,8.616641161,44.40872469,2,3.390424728,301.9022522,330.546051,44.01932907,0
P96,2023,700087.2035,3815863.56,0,0,0,0,0,0,0,0,0,0,0.713100553,0.022122493,0.153572173,645,3.43977809,1.311652945,40.40774288,3,3.35984683,300.7077637,354.2830505,37.31033707,0
P97,2023,740107.2035,3810343.56,0,0,0,0,0,0,0,0,0,0,0.812932014,0.037268617,0.195507183,534,29.26633835,1.016019584,48.80062024,3,3.273552179,301.9653015,331.5562134,44.02561569,0
P98,2023,739417.2035,3808963.56,0,0,0,0,0,0,0,0,0,0,0.758411825,0.038514593,0.230531527,716,36.02422714,0.855057658,49.50506869,3,3.267006636,301.90271,334.0072632,43.98861694,0
P99,2023,784957.2035,3862093.56,0,0,0,0,0,0,0,0,0,0,0.673507631,0.044370732,0.11508763,284,3.212795019,6.839407909,40.00168666,2,3.487802267,303.0372925,324.9241028,35.89979935,0
P100,2023,715957.2035,3848293.56,0,0,0,0,0,0,0,0,0,0,0.736963332,0.033518536,0.239916413,447,14.08091259,0.158836324,42.62112409,3,3.460616827,302.7414856,332.1368713,37.05652237,0
P101,2023,682837.2035,3846913.56,0,0,0,0,0,0,0,0,0,0,0.535444975,0.086656749,0.575335031,2001,73.98511505,0.769389081,41.9736136,4,3.427550554,302.6772156,340.5997314,41.90855789,0
P102,2023,740797.2035,3840703.56,0,0,0,0,0,0,0,0,0,0,0.473674953,0.041114342,0.91884553,2595,87.53139496,0.791537321,43.36221913,4,3.4530828,301.8378906,336.0653076,40.66437149,0
P103,2023,709057.2035,3852433.56,2.1004,7.5614,1.1667,1.1667,87.5,91.6517,0.0704,0,0,0.012278375,0.552016497,0.026205883,0.803914733,2236,68.49982452,0.094502128,42.97164242,6,3.466872454,302.7843018,328.322876,37.5779953,0
P104,2023,751147.2035,3808963.56,0,0,0,0,0,0,0,0,0,0,0.473551661,0.041276726,1,3736,58.94268799,0,47.03969829,4,3.271013021,302.2779236,329.7015381,42.8947525,0
P105,2023,720097.2035,3868303.56,0,0,0,0,0,0,0,0,0,0,0.73695606,0.078152444,0.036954778,118,1.384769678,0,42.51092766,2,3.55343771,302.441925,327.9463501,38.36117935,0
P106,2023,732517.2035,3833803.56,8.4016,22.0542,2.0909,1.2653,73.3333,76.387,0.2071,0.047645637,0,0,0.631001532,0.043893521,0.411437219,1210,7.968041897,0.763175672,39.30320131,4,3.404206038,301.5818481,333.3580017,41.75265121,0
P107,2023,725617.2035,3806203.56,2.1004,38.4373,1.9524,1.9524,89.8477,47.8672,0.5087,0.21691101,0,0,0.729832649,0.079019503,0.181897794,836,0.959269285,0.867453785,40.17552673,4,3.25735116,300.9540405,347.0408936,44.18974686,0
P108,2023,739417.2035,3857953.56,0,0,0,0,0,0,0,0,0,0,0.465578079,0.053215928,0.969491973,2187,91.85137939,0.327079842,45.52222833,4,3.549923658,302.6022034,329.7730408,37.91561127,0
P109,2023,689047.2035,3842773.56,18.9036,64.9023,3.1667,1.516,70.8955,49.6568,0.4116,0.142951449,0.001890359,0,0.649330199,0.092371274,0.068488092,295,4.408821106,0.152709648,37.63671004,3,3.480010033,301.4633789,345.414032,40.74559021,0
P110,2023,677317.2035,3835873.56,0,0,0,0,0,0,0,0,0,0,0.696705699,0.041631438,0.446616526,1833,6.102302074,0.366571314,46.69443049,3,3.569850206,302.7268677,358.5815735,43.91604614,0
P111,2023,711127.2035,3806893.56,6.3012,112.7914,3.1667,2.2923,86.8243,17.8841,0.6755,0.573496021,0.022540669,0,0.72825098,0.067329489,0.013232514,56,1.641312838,0,35.56818792,3,3.269648552,300.846283,347.5024109,40.96708679,0
P112,2023,766327.2035,3851053.56,0,0,0,0,0,0,0,0,0,0,0.477007538,0.042774653,0.742947477,436,67.34203339,4.735588214,42.20002605,4,3.537649393,302.6674805,339.3613892,38.05869293,0
P113,2023,722857.2035,3849673.56,0,0,0,0,0,0,0,0,0,0,0.538709044,0.026796522,0.82791749,1643,51.33036041,1.595946992,44.48675185,4,3.479403734,302.7782593,332.8327942,37.18054581,0
P114,2023,765637.2035,3817243.56,0,0,0,0,0,0,0,0,0,0,0.660948396,0.029791806,0.211321721,346,5.918466091,11.71662747,45.89741006,3,3.309458494,301.7620544,326.7510681,44.63389206,0
P115,2023,686287.2035,3850363.56,0,0,0,0,0,0,0,0,0,0,0.605280161,0.102225336,0.421818639,1229,64.67137146,0.203069201,40.56973751,4,3.460919857,302.5762939,339.6256409,41.14136887,0
P116,2023,682147.2035,3799993.56,8.4016,22.6843,1.8182,1.1646,79.0698,76.71,0.2016,0.042064971,0.008413842,0,0.746179879,0.039510601,0.273552517,372,0.885344684,0,40.29032162,4,3.584889174,301.7797852,364.6739807,37.7646904,0
P117,2023,683527.2035,3808963.56,0,0,0,0,0,0,0,0,0,0,0.671747148,0.041637845,0.056483319,819,2.401159763,2.232169797,41.86742333,2,3.641361713,301.9295654,373.4804077,38.86543274,0
P118,2023,688357.2035,3806893.56,0,0,0,0,0,0,0,0,0,0,0.680460632,0.04246465,0.19649562,707,8.075104713,0.392363881,44.05144675,3,3.573459864,301.8842468,372.1809082,37.03509521,0
P119,2023,760117.2035,3806203.56,0,0,0,0,0,0,0,0,0,0,0.840060651,0.035867693,0.024627899,254,2.657617331,21.48746104,49.93117282,2,3.254465103,302.1816101,325.8930969,42.32923126,0
P120,2023,771157.2035,3859333.56,0,0,0,0,0,0,0,0,0,0,0.745022535,0.049225017,0.002928313,331,3.856960297,0,44.43402053,2,3.576009274,303.0430298,333.0421143,35.91563797,0
P121,2023,674102.297,3846369.136,0,0,0,0,0,0,0,0,0,0,0,0.039716419,0.018249811,0,0,0,43.55819885,1,3.362565756,302.352356,338.946228,43.08750153,0
P122,2023,722167.2035,3857263.56,0,0,0,0,0,0,0,0,0,0,0.729416847,0.059296474,0.32727833,438,14.19722843,0.116191091,39.87805758,3,3.517262459,303.0352783,335.0634155,36.82353973,0
P124,2023,706297.2035,3818623.56,2.1004,2.5205,1,1,0,97.9788,0.0137,0.001890359,0,0,0.717496812,0.044614749,0.036102373,208,2.061050653,0,43.03157646,3,3.227906466,300.6404114,345.5315247,39.86379623,0
P125,2023,782887.2035,3828973.56,0,0,0,0,0,0,0,0,0,0,0.766944766,0.041235533,0.04006864,139,0.54646337,5.052117336,46.64549224,2,3.329122305,301.6766968,329.0098267,45.6698494,0
P126,2023,765637.2035,3851743.56,0,0,0,0,0,0,0,0,0,0,0.507542789,0.046056168,0.709230783,599,76.34902954,2.851712186,43.56319977,4,3.540772438,302.6828308,339.2736206,37.90618896,0
P127,2023,680077.2035,3848983.56,0,0,0,0,0,0,0,0,0,0,0.392930567,0.041095105,0.986308335,5013,72.51759338,0,46.10167817,4,3.426820755,302.6982117,335.1960449,42.69239807,0
P128,2023,729757.2035,3857953.56,2.1004,1.8904,1,1,100,97.221,0.0249,0,0,0.003219834,0.636677206,0.05691635,0.239858419,1087,82.10627747,0,42.64673896,5,3.533318043,302.8258057,331.5702209,37.42507935,0
