LID,Year,lon,lat,PD,ED,LSI,AWMSI,AI,CONTAG,SHDI,FP,GP,WP,FVC,ECV,BP,POP,GDP,UEI,Temperature,Coupling Coordination Level
P1120,2023,736657.2035,3813793.56,10.502,25.8349,2.1818,1.4038,68.2927,76.3841,0.196,0.012296294,0,0.037807183,0.74408114,0.054143413,0.051183339,580,3.325577259,1.595151621,40.16192788,3
P1174,2023,747007.2035,3831733.56,8.4016,31.506,2.6,1.2396,57.8947,76.1408,0.1846,0.005671078,0,0.040651681,0.576858819,0.040575807,0.729940919,1653,49.55132675,0,39.95467534,5
P1207,2023,738037.2035,3829663.56,6.3012,26.465,1.9167,1.3719,79.6296,73.1213,0.2335,0.053866277,0,0.007561437,0.737906456,0.054241896,0.018371948,317,4.666893482,0,36.3578715,3
P1229,2023,731827.2035,3817243.56,4.2008,5.6711,1.4,1,60,93.6338,0.0535,0.008265962,0,0.003780718,0.819859326,0.077482816,0.0940169,294,2.369292259,0,36.65644107,3
P1445,2023,738727.2035,3822763.56,8.4016,22.6843,2.1818,1.145,69.7674,76.6702,0.2016,0.017865638,0,0.032272663,0.668352962,0.036639934,0.605905729,899,18.24475288,1.137749829,40.60969881,5
P1468,2023,716647.2035,3812413.56,4.2008,64.2722,2.7273,2.2594,82.7273,39.0896,0.5377,0.174182407,0,0.056228454,0.743827283,0.093910206,0.067951197,304,1.006761432,1.640819966,37.86894921,3
P1517,2023,718027.2035,3856573.56,2.1004,26.465,1.2424,1.2424,98.3968,37.5438,0.6931,0.016160827,0,0.494197086,0.666936159,0.032056036,0.253704608,716,37.838974,1.221568624,35.34343767,5
P1804,2023,718717.2035,3810343.56,18.9036,83.8059,3.8571,1.706,69.5431,37.6367,0.5087,0.202550462,0,0.009118368,0.721391022,0.068616346,0.091189307,494,1.315104961,3.394832869,38.66777866,3
P1816,2023,726997.2035,3831043.56,12.6024,23.9445,2.5,1.0778,45.4545,82.691,0.129,0.025051739,0,0.003303649,0.692214608,0.084444137,0.064671537,284,4.757143497,-0.972016161,37.61075066,3
P1852,2023,718717.2035,3856573.56,2.1004,42.8481,1.5185,1.5185,95.5272,37.3363,0.6279,0.025987959,0,0.293024409,0.642602265,0.038158706,0.272438357,880,38.35870361,0.648586834,38.15823832,5
P2088,2023,744247.2035,3833113.56,6.3012,10.712,1.8,1.1667,42.8571,91.5599,0.0621,0.007561437,0,0.003303649,0.58881706,0.047993841,0.311858926,746,58.20269775,3.421578542,38.24706783,5
P2141,2023,731827.2035,3816553.56,6.3012,23.3144,2.2,1.256,68.4211,77.9445,0.1846,0.037102658,0,0.007579355,0.733770967,0.044284316,0.163752484,388,2.00515914,2.610112019,40.15930026,4
P2152,2023,753217.2035,3810343.56,4.2008,27.7253,1.8462,1.5473,81.9672,71.1616,0.2535,0.002409336,0,0.067617768,0.512019813,0.062979874,0.532379118,1344,87.86816406,2.670645507,40.9724638,6
P2263,2023,704917.2035,3802753.56,6.3012,52.2999,1.907,1.5319,95.4598,51.6904,0.4183,0.059120111,0,0.787287965,0.558890939,0.032075754,0.000477069,80,2.078376532,0,27.84292804,3
P2277,2023,732517.2035,3816553.56,4.2008,30.8759,1.4783,1.2234,95.1965,47.0227,0.549,0.003780718,0,0.226614631,0.70471859,0.067278624,0.19933506,474,2.055671453,-4.389337531,36.55024411,4
P2354,2023,740797.2035,3820693.56,2.1004,3.1506,1,1,100,96.7967,0.0249,0.000388003,0,0.003780718,0.669404745,0.047514497,0.37488124,750,3.496824026,1.174509872,41.4120105,4
P2362,2023,698017.2035,3808273.56,4.2008,6.9313,1.5,1.3429,62.5,91.8386,0.0704,0.016579084,0,0.001890359,0.631561577,0.036581674,0.670904623,1007,26.16459084,0.056511775,44.23473504,5
P2367,2023,718717.9269,3806894.507,8.4016,106.4902,3.2647,2.3242,85.3053,17.5918,0.6916,0.523437535,0,0.008437166,0.814567566,0.065253019,0.002750368,88,0.775541246,0,34.36883451,2
P2495,2023,722857.2035,3805513.56,4.2008,5.6711,1.25,1,50,95.2273,0.035,0.005194008,0,0.000518977,0.762117565,0.071911945,0.007228008,124,0.823212683,0,37.97899398,2
P2601,2023,741487.2035,3804133.56,8.4016,22.6843,2.1818,1.2286,73.4694,75.3361,0.2178,0.049100835,0,0.001890359,0.791974783,0.035068165,0.183364839,333,1.417916298,0.860215054,41.04630918,4
P2614,2023,744247.2035,3833803.56,10.502,39.0674,2.5833,1.5133,67.2414,69.4031,0.2436,0.011342155,0,0.054820416,0.541830361,0.049139545,0.488946477,875,65.47797394,8.066885635,39.22017037,5
P2631,2023,720787.2035,3809653.56,16.8032,99.5589,3.4615,1.847,78.9474,25.0278,0.6206,0.253463424,0,0.056710775,0.782641351,0.073580549,0.015122873,206,1.37681973,0,35.65557965,3
P2755,2023,715957.2035,3812413.56,21.004,91.9975,3.4583,1.9757,77.1318,29.9522,0.5798,0.258598619,0,0.012010024,0.772284448,0.069061167,0.004734857,182,0.999236584,-5.706558376,36.59625308,2
P2852,2023,733207.2035,3840013.56,8.4016,85.0662,3.1667,2.3187,78.5124,32.6214,0.5639,0.172022684,0,0.070572476,0.747431934,0.070025689,0.136606919,255,29.75099373,0,35.64254582,5
P3108,2023,752527.2035,3835183.56,10.502,85.6963,3.2174,2.1,76.9231,34.5788,0.54,0.032524109,0,0.197151154,0.661298811,0.034831385,0.433943884,395,26.81466675,0,37.54172105,5
P3195,2023,733207.2035,3817933.56,4.2008,54.8204,2.5,2.3059,85.6,38.4705,0.572,0.085852146,0,0.171003662,0.716806591,0.059323308,0.161914867,579,4.818480968,-2.076754093,35.75378487,4
P3198,2023,735967.2035,3838633.56,14.7028,83.1758,3.2083,2.167,79.9242,31.1293,0.5854,0.107606831,0,0.158838149,0.708770514,0.062596169,0.205357291,597,22.16092873,-0.632729553,35.82341485,5
P3213,2023,736657.2035,3827593.56,4.2008,7.5614,1.5,1,75,90.3505,0.0862,0.002742764,0,0.017049069,0.663481474,0.043446159,0.402976512,818,2.023878336,6.289518562,40.44703354,4
P3239,2023,742867.2035,3816553.56,4.2008,6.3012,1.4,1,71.4286,92.7134,0.0621,0.002742764,0,0.006523483,0.713412464,0.04252798,0.291788239,378,1.401854038,1.955450081,41.9782735,4
P3244,2023,724237.2035,3871063.56,6.3012,7.5614,1.6,1,40,93.1478,0.0535,0.000649951,0,0.011962866,0.78823483,0,0.295447473,83,2.888353825,0.525307637,39.33931151,4
P3267,2023,718027.2035,3855883.56,8.4016,56.0807,2.6667,2.1238,82.4121,43.1161,0.5112,0.027317434,0,0.174782354,0.691118181,0.042095391,0.122604995,639,59.17949677,0.969962801,42.44018364,5
P3453,2023,677317.2035,3855883.56,10.502,49.1493,2.7778,1.3632,77.1429,52.0811,0.4216,0.062841004,0,0.075546112,0.654155493,0.223173826,0.116479824,85,1.155204535,-5.981623556,35.52327435,3
P3546,2023,735967.2035,3824833.56,6.3012,77.5047,3.45,2.3511,70.8333,42.3808,0.4679,0.122289292,0,0.052064984,0.727892756,0.089011499,0.060592214,212,5.6533494,0,37.20428692,3
P3586,2023,735277.2035,3837253.56,10.502,44.1084,2.6667,1.4865,71.2644,61.9955,0.3171,0.096151621,0,0.000954139,0.728085339,0.076916184,0.243350023,416,12.23616123,0.113347375,36.79604601,4
P3645,2023,747007.2035,3821383.56,4.2008,6.3012,1.5,1,50,94.2219,0.0445,0.001890359,0,0.00675619,0.692864239,0.038518286,0.201941074,324,4.993124485,0,42.24296613,4
P3667,2023,707677.2035,3864853.56,18.9036,83.1758,3.6842,1.7772,65.7718,44.1172,0.4377,0.125717844,0,0.032595257,0.696436882,0.281819046,0.200497724,188,2.331528187,0.783827323,38.73280337,4
P3880,2023,735967.2035,3837253.56,16.8032,154.3793,5.0714,2.2358,67.052,14.2804,0.6496,0.334928014,0,0.021730171,0.747655392,0.086531849,0.22059322,368,12.2176466,0,36.21441148,4
P3980,2023,724927.2035,3871063.56,12.6024,24.5747,2.4545,1.3267,67.3469,74.8325,0.2178,0.059301422,0,0.004716939,0.787909985,0.029895051,0.352929196,92,4.866825581,0,40.47987721,4
P4099,2023,748387.2035,3833113.56,2.1004,27.7253,1.8333,1.8333,80,73.6816,0.2231,0.003780718,0,0.054820416,0.536964715,0.037717635,0.645547877,1963,61.46824646,3.358325182,40.27326755,6
P4157,2023,747007.2035,3831043.56,4.2008,8.8217,1.6,1,57.1429,92.0134,0.0621,0.005671078,0,0.005671078,0.526306629,0.03613726,0.777664301,1342,42.82324219,0.916314126,41.65157995,5
P4212,2023,726307.2035,3807583.56,6.3012,76.2445,2.4062,1.6975,90.2597,23.7776,0.691,0.469294572,0,0.004114147,0.754334569,0.080706133,0.008413842,194,1.080626249,0,36.44557476,3
P4234,2023,676649.8161,3855854.09,9.4563,42.5532,2.2222,1.222,82.8125,52.7875,0.4318,0.076552119,0,0.0749072,0.650972128,0.270401013,0.25701567,80,1.018739581,-4.130377474,36.96612175,4
P4308,2023,708367.2035,3865543.56,16.8032,58.6011,3.3333,1.7427,63.9175,57.3391,0.3378,0.07494751,0,0.034026465,0.704230487,0.224616428,0.086639999,203,1.669659376,0.446104355,36.03535043,3
P4372,2023,747697.2035,3800683.56,6.3012,16.3831,2,1.2222,58.8235,86.1322,0.1083,0.006709031,0,0.017013233,0.789428234,0.044537003,0.176105233,290,1.714298487,0.665486035,41.46648581,3
P4373,2023,733897.2035,3840013.56,16.8032,50.4096,3.5833,1.1708,48.3333,66.9275,0.2486,0.042685682,0,0.027836411,0.784991086,0.078019902,0.115144279,263,28.52318382,0,35.10380303,4
P4416,2023,712507.2035,3823453.56,6.3012,8.1916,1.6,1,57.1429,92.185,0.0621,0.003261741,0,0.006607298,0.643870175,0.029415909,0.462316176,828,26.93068695,0,39.34312211,5
P4453,2023,726307.2035,3831043.56,4.2008,5.041,1.3333,1,0,96.3452,0.0249,0.003780718,0,0.000477069,0.694765091,0.065575903,0.146988864,342,3.939812899,1.300551757,38.16163609,3
P4489,2023,727687.2035,3840013.56,4.2008,15.753,1.4167,1.2557,90.3846,76.5496,0.2283,0.003780718,0,0.053759292,0.509555399,0.052328787,0.548792451,982,28.58930588,0.639860751,40.63229601,5
P4503,2023,728377.2035,3871063.56,14.7028,91.9975,3.0333,1.8337,85.1942,21.384,0.6796,0.143395527,0,0.280727296,0.741179645,0.200629801,0.278701772,200,14.77607441,1.440984229,35.21207219,5
P4520,2023,704227.2035,3804133.56,4.2008,13.2325,1.5,1.2348,88.8889,76.9421,0.2335,0.00282658,0,0.066055779,0.657906473,0.036807589,0.089264124,192,3.258252859,-2.828828446,40.96854093,3
P4582,2023,671797.2035,3798613.56,4.2008,32.7662,2.0769,1.527,77.0492,69.9345,0.2535,0.02551089,0,0.043478261,0.722175241,0.018819606,0.101620244,442,0.909974158,1.18210042,37.58882542,3
P4629,2023,708367.2035,3848983.56,8.4016,20.1638,2.4286,1.2727,33.3333,86.0463,0.1011,0.001890359,0,0.017865638,0.751633048,0.073603973,0.120159822,185,3.695220232,-0.446331433,35.75816977,3
P4685,2023,753217.2035,3835183.56,2.1004,25.8349,1.6875,1.6875,89.4231,63.6697,0.3536,0.019839812,0,0.087217457,0.640441597,0.031561611,0.322929312,272,23.47126007,0,41.23566412,5
P4706,2023,729757.2035,3820003.56,4.2008,6.9313,1.4,1.2,60,93.271,0.0535,0.001371382,0,0.006607298,0.74517262,0.044810987,0.114561238,425,2.208072662,0.429655871,45.18954583,3
P4711,2023,735967.2035,3839323.56,8.4016,61.1216,2.6364,2.0321,82.3529,41.3614,0.5187,0.049716294,0,0.159642575,0.716493547,0.053864495,0.275800819,1248,26.59706306,1.671397246,36.85372475,5
P4765,2023,752527.2035,3834493.56,6.3012,13.8626,1.5,1.1224,80,85.5877,0.1222,0.023709597,0,0.001890359,0.616156578,0.036043035,0.477424025,490,28.6232872,0.059380585,40.58574268,5
P4766,2023,669727.2035,3853813.56,6.3012,5.6711,1.5,1,0,95.423,0.035,0.003780718,0,0.001025287,0.590332866,0.167439116,0.092252263,165,0.650805831,13.54263998,39.82966444,3
P4785,2023,716647.2035,3811723.56,6.3012,49.7795,2.5238,2.0449,83.4197,45.2398,0.5035,0.109353549,0,0.079787814,0.755593121,0.063039978,0.035916824,311,1.070515037,5.333333333,38.01816482,3
P5003,2023,730447.2035,3831043.56,18.9036,65.5325,3.2,1.3188,73.494,44.8977,0.465,0.158233524,0,0.011342155,0.666294336,0.032939138,0.133048405,1077,10.8420105,0.744788897,37.50064687,4
P5008,2023,698707.2035,3857953.56,8.4016,75.6144,2.6,1.5537,87.9397,25.2424,0.6748,0.051975918,0,0.334679268,0.533321202,0.278605754,0.0240976,248,3.448984146,-6.024550196,34.22479571,3
P5104,2023,753217.2035,3805513.56,4.2008,35.9168,1.8421,1.4603,90.0621,52.7374,0.4561,0.004084906,0,0.165271745,0.690411925,0.074669592,0.002928313,291,4.632421017,0,37.67872755,3
P5132,2023,780127.2035,3858643.56,8.4016,35.2867,2.1429,1.6105,77.7778,66.964,0.2819,0.009451796,0,0.069925371,0.637935877,0.03012158,0.470000978,101,3.935392618,5.040062551,40.44301347,4
P5265,2023,735277.2035,3826213.56,4.2008,109.6408,3.5385,3.4469,78.7097,22.909,0.625,0.074201077,0,0.244501032,0.699876547,0.067326119,0.014561989,326,2.121092081,0,34.1415681,3
P5333,2023,754597.2035,3803443.56,2.1004,15.1229,1.4,1.4,93.5484,68.9693,0.3296,0.000477069,0,0.100271019,0.737638354,0.057658176,0.198840892,344,2.053664684,0,42.93450305,4
